Landblock Hex	Landblock Dec	Dungeon Name	Drop Loc	Wiki Link	WeenieClassId	WeenieDesc	aceObjectId	Portal Name	Portal Loc	Portal Coordinates	Portal Restrictions	NPC Name	Gem Name	Gateway	Notes	Spreadsheet Info
0013	19	Reinforced Royal Vault	0x001302d6 0 -10 0.0049999998882413 1 0 0 0	0013				Reinforced Royal Vault		000E	LR080 QF					If portal is accessed from a dungeon, enter xxxx (Ex: 0008) where xxxx is the landblock ID of the dungeon it is located in.
0014	20	Fortified Royal Vault	0x001402d6 0 -10 0.0049999998882413 1 0 0 0	0014				Fortified Royal Vault		000F	LR100 QF					
0015	21	Banished Assembly	0x001501ca 12.266799926758 -59.988998413086 12.005000114441 -0.77960002422333 0 0 0.62627798318863	0015	4941	portalbanishedassembly	1907433472	Banished Assembly	0x1B120101 181.447 133.686 1.937 0.938569 0 0 -0.345092	87.0S 79.6W	LR100 NT NR NS					
0016	22	Ravaged Cathedral	0x001601ca 12.266799926758 -59.988998413086 12.005000114441 -0.77960002422333 0 0 0.62627798318863	0016	30695	portalravagedcathedral	1908486145	Ravaged Cathedral	0x1C13002E 130.771 129.602 69.937 -0.461396 0 0 -0.887194	86.2S 79.0W	LR100					
0017	23	Vile Sanctuary	0x001701ca 12.266799926758 -59.988998413086 12.005000114441 -0.77960002422333 0 0 0.62627798318863	0017	30693	portalvilesanctuary	1909534721	Vile Sanctuary	0x1D130115 142.934 4.22885 -8.463 -0.343218 0 0 -0.939256	86.7S 78.2W	LR100					
0018	24	Copper Legion Keep	0x001801c7 90 -8 0.0049999998882413 0 0 0 -1	0018	29433	portalinvaderkeepcopper	3692178743	Copper Legion Keep	0x808E000D 32 109 123.937 0.887011 0 0 -0.461749	12.1N 0.6E	LR050 NS NT NR					
0019	25	Gold Legion Keep	0x00190105 90 -23 0.0049999998882413 -0.00041899998905137 0 0 -1	0019	29435	portalinvaderkeepgold	3692406765	Gold Legion Keep	0x8190003E 174 140 123.937 0.887011 0 0 -0.461749	13.8N 2.0E	LR080 NS NT NR					
001A	26	Platinum Legion Keep	0x001a017a 190 -70 0.0049999998882413 0 0 0 -1	001A				Platinum Legion Keep		16.5N 0.6E	LR100 NS NT NR					
001B	27	Silver Legion Keep	0x001b016e 80 -10 0.0049999998882413 0 0 0 -1	001B	29439	portalinvaderkeepsilver	3689198049	Silver Legion Keep	0x7D900023 102 71 123.937 0.887011 0 0 -0.461749	 13.5N 1.5W	LR065 NS NT NR					
001C	28	Lugian Ice Tunnels	0x001c0105 0 -64 0.0049999998882413 1 0 0 0	001C	29481	portallugianicetunnels	1947156480	Lugian Ice Tunnels	0x40F40031 155 15 1.937 0.92388 0 0 -0.382683	93.3N 50.1W	LR080 NS NT NR QF					
001D	29	Ruschk Icehold	0x001d012f 170 -18 0.0049999998882413 0 0 0 -1	001D	29483	portalruschkicehold	1945026560	Ruschk Icehold	0x3EEC002D 130 108 3.937 0.707107 0 0 -0.707107	87.3N 51.8W	LR080 NS NT NR QF					
001E	30		0x001e029b 20 0 0.0049999998882413 0.70710700750351 0 0 -0.70710700750351	001E	29485	portalviamontianroyalprison	1958682624	Viamontian Royal Prison	0x4BF2001C 85 85 7.937 -0.705624 0 0 -0.708586	92.0N 41.6W	LR080 NS NT NR QF					
001F	31	Eater Pit	0x001f0286 121 -250 0.0049999998882413 0.70710700750351 0 0 -0.70710700750351	001F	29496	portaleaterpit	1917771776	Eater Pit	0x24EE0100 120 84 -1.263 -0.726826 0 0 -0.686821	88.8N 72.6W	LR040 NS NT NR QF					
0020	32	Heart of Madness	0x002002d2 60 -30 0.0049999998882413 0 0 0 -1	0020	29498	portalheartofmadness	1922994176	Heart of Madness	0x29E90100 132 96 2.737 -0.998961 0 0 -0.0455633	84.8N 68.6W	LR040 NS NT NR QF					
0021	33	Hall of Karlun	0x00210139 20 -130 0.0049999998882413 1 0 0 0	0021	29502	portalkarlunhall	1924063233	Hall of Karlun	0x2AEE002D 130 110 99.937 1 0 0 0	88.9N 67.8W	LR040 NS NT NR QF					
0022	34	Cannibal Caverns	0x002202f2 230 -10 -5.9949998855591 0 0 0 -1	0022	29512	portalcannibalcaverns	1936642048	Cannibal Caverns	0x36ED0101 51 84 81.137 -0.711094 0 0 -0.703097	88.0N 58.5W	LR050 QF NT NR NS					
0023	35	Sezzherei's Lair	0x0023011a 77.221099853516 -6.8506999015808 0.0049999998882413 0.89411300420761 0 0 0.44784098863602	0023							LR100 NS NR NT		Sezzherei's Lair	x		
0029	41	Thrungus Hole	0x002902e7 262.75299072266 -127.55000305176 0.0049999998882413 0.91103899478912 0 0 -0.41231998801231	0029	30963	portalthrungushole	1956597762	Thrungus Hole	0x49F50100 139.019 13.394 94.737 -0.0726013 0 0 0.997361	94.2N 43.0W	LR126 QF					
002A	42	Path of the Blind (Main)	0x002a034a 52.855201721191 -248.07499694824 0.0049999998882413 1 0 0 0	002A	30971	portalpathblind	1950289920	Path of the Blind	0x43F1001B 87.2898 65.8189 39.937 -0.0000000437114 0 0 -1	91.1N 48.0W	LR140					
002B	43	Egg Orchard (Main)	0x002b0371 458.53500366211 -172.20300292969 0.0049999998882413 0.93300801515579 0 0 -0.35985600948334	002B	30964	portaleggorchard	1950314496	Egg Orchard	0x43F70016 59.8259 132.72 100.137 1 0 0 0	96.2N 48.1W	LR140					
002C	44	Forgotten Chasm	0x002c029c 204.14399719238 -134.7619934082 0.0049999998882413 -0.60362899303436 0 0 -0.79726499319077	002C				Forgotten Chasm		94.5N 39.1W	LR130					
002D	45	Dark Design	0x002d0373 200.14199829102 -4.3275499343872 0.0049999998882413 -0.024926900863647 0 0 -0.99968898296356	002D	30960	portaldarkdesign	1954496512	Dark Design	0x47F40016 57.3476 133.856 0.312701 1 0 0 0	93.8N 44.9W	LR140					
002E	46	Feeding Tubes	0x002e02d1 110.56199645996 -336.79501342773 0.0049999998882413 1 0 0 0	002E				Feeding Tubes		96.7N 42.4W	LR130					
002F	47	Tursh Dungeon	0x002f0100 1.2726700305939 -1.1887899637222 0.0049999998882413 0.37340798974037 0 0 -0.9276670217514	002F							QF	Ruschk Totem				
0030	48	Renegade Incursion	0x003001a7 1.3988699913025 -127.96399688721 0.0049999998882413 0.89728599786758 0 0 -0.4414489865303	0030	31294		1916272640	Renegade Incursion	0x23800031 159.046 13.4355 219.937 0.937562 0 0 -0.347817	0.5N 73.3W	LR050					
0031	49	Creepy Canyons	0x00310344 150 -200 6 1 0 0 0	0031	31315		1895321600	Creepy Canyons	0x0F850022 116.271 32.4497 16.4989 0.182132 0 0 -0.983274	4.6N 89.5W	LR180 QF					
0032	50	Tunnel of Love	0x00320104 68.096199035645 -1.7675800323486 0.0049999998882413 0.019859099760652 0 0 -0.99980300664902	0032	31514		1885376514	Tunnel of Love	0x0609002C 141.837 82.4742 71.937 -0.707107 0 0 -0.707107	94.4S 96.6W	LR120 QF NS NT NR					
0033	51	Coral Caves	0x003303d2 97.637001037598 -197.39500427246 0.0049999998882413 1 0 0 0	0033	31326		1957625856	Coral Caves	0x4AF00015 69.151 104.98 -0.963 -0.98552 0 0 -0.169557	90.5N 42.4W	N					
0033	51	Icy Hideout	0x0033040f 739.91497802734 -233.13999938965 0.0049999998882413 0 0 0 -1	0033				Icy Hideout		89.5N 56.3W	QF					
0034	52	The Fazenda Caves	0x003402a2 120 -240 0.0049999998882413 0.99968701601028 0 0 -0.024996999651194	0034	31374		2023477248	The Fazenda Caves	0x89BD0100 15.5763 116.117 118.737 -0.995808 0 0 -0.0914643	49.8N 7.7E	LR040				Needs verification on portal name and restrictions. - Immortalbob	
0035	53	Lost Coastal Archive	0x003501e5 220 -10 0.0049999998882413 0 0 0 -1	0035	31434		2101010432	Lost Coastal Archive	0xD3AE0100 36 54 -6.408 1 0 0 0	37.4N 67.0E	LR040 QF NS NT NR					
0036	54	Lost Desert Archive	0x0036013c 0 -10 0.0049999998882413 0.70710700750351 0 0 -0.70710700750351	0036	31436		2009612288	Lost Desert Archive	0x7C840100 102 84 53.592 0.707107 0 0 -0.707107	3.9N 2.4W	LR040 QF NS NT NR					
0037	55	Frozen Cenotaph	0x003701cc 40 -10 0.0049999998882413 0 0 0 -1	0037	31432		1926168576	Frozen Cenotaph	0x2CF00100 22 132 -1.263 -0.707107 0 0 -0.707107	90.6N 66.7W	LR040 QF NS NT NR					
0038	56	Crypt of Adhorix	0x003802f4 230 -60 0.0049999998882413 1 0 0 0	0038							N		Crypt of Adhorix Portal Gem	x		
0038	56	Font of the Eternal Harvester	0x00380285 20 -40 0.0049999998882413 0 0 0 -1	0038	31670		1951703040	Font of the Eternal Harvester	0x454A0102 62 12 5.137 -0.707107 0 0 -0.707107	42.7S 46.6W	LR080 QF NS NT NR					
0039	57	Hagra's Holdfast	0x003901e0 110 -30 0.0049999998882413 0.70710700750351 0 0 -0.70710700750351	0039	31710		1896591360	Hagra's Holdfast	0x10BB0100 170 132 16.737 0.707107 0 0 -0.707107	48.2N 88.5W	LR035 QF NS NT NR					
003A	58	Corrupted Falatacot Temple	0x003a053c 222.07600402832 -42.360599517822 0.0049999998882413 0.44124498963356 0 0 -0.89738702774048	003A							QF	Ruined Watcher				
003B	59	Gateway to the Deep: Part 2	0x003b0335 80 0 0.0049999998882413 0 0 0 -1	003B							QF	Shemza				
003B	59	Gateway to the Deep: Part 3	0x003b0309 40 -217.86000061035 -5.9949998855591 1 0 0 0	003B							QF	Lurza				
003B	59	Gateway to the Deep: Part 4	0x003b0364 210 -109.98500061035 0.075566001236439 1 0 0 0	003B							QF	Dmesne				
003C	60	Abandoned Mines Mirror	0x003c022d 70 -30 0.0049999998882413 0.21900700032711 0 0 -0.97572302818298	003C							QF	Flame Guardian				
003D	61	Devastated Falatacot Temple	0x003d053c 222.07600402832 -42.360599517822 0.0049999998882413 0.44124498963356 0 0 -0.89738702774048	003D							QF	Devastated Watcher				
003E	62	Breached Hive	0x003e02f7 18.814300537109 -12.694899559021 0.0049999998882413 0.69070500135422 0 0 0.72313702106476	003E	32104		1917571072	Breached Hive	0x24BD0007 6.41872 158.673 198.867 -0.973191 0 0 0.23	49.8N 73.1W	LR050 NT NR NS					
0040	64	Master Alizari's Dig	0x004002e0 40 -10 0.0049999998882413 1 0 0 0	0040				Master Alizari's Dig		19.4N 43.2W	LR040-059 QF NT NR NS					
0041	65	Mistress Halmera's Dig	0x00410160 160 -10 0.0049999998882413 1 0 0 0	0041	32235		1936236544	Mistress Halmera's Dig	0x368A000A 33.9626 31.8078 83.937 -0.671686 0 0 0.740836	8.6N 58.6W	LR060-079 QF NT NR NS					
0042	66	Mistress Gabille's Dig	0x00420292 320 -10 0.0049999998882413 1 0 0 0	0042				Mistress Gabille's Dig		8.5N 88.9W	LR080-099 QF NT NR NS					
0043	67	Master Vaserio's Dig	0x0043031d 250 -32 0.0049999998882413 1 0 0 0	0043				Master Vaserio's Dig		54.2S 78.6W	LR100 QF NT NR NS					
0044	68	Collegium Occultus	0x00440201 70 -157 0.0049999998882413 0 0 0 -1	0044				Collegium Occultus		0044	LR130 QF NT NR NS					
0044	68	Collegium Occultus Anteroom	0x004401fa 70 -7 0.0049999998882413 0 0 0 -1	0044	32281		1984184549	Collegium Occultus Anteroom	0x6444013F 80 -350 -23.7599 0.707107 0 0 -0.707107	6444	LR130 NT NR NS					
0045	69	Temple of Stirring Shadows (East Wing)	0x00450415 232 -420 0.0049999998882413 0.70710700750351 0 0 -0.70710700750351	0045	32506		1879330887	Temple East Wing	0x004503A8 90 -420 -0.063 0.707107 0 0 -0.707107	0045	NT NR NS					
0045	69	Temple of Stirring Shadows (Lobby)	0x004502c2 40 -420 0.0049999998882413 0.70710700750351 0 0 -0.70710700750351	0045	32508		2089664512	Temple of the Stirring Shadow	0xC8DC0033 149.922 53.7641 31.937 0.913385 0 0 -0.407097	74.3N 58.7E	LR080 QF NT NR NS					
0045	69	Temple of Stirring Shadows (North Wing)	0x00450322 60 -278 0.0049999998882413 1 0 0 0	0045	32509		1879330872	Temple North Wing	0x00450323 60 -390 -0.063 1 0 0 0	0045	NT NR NS					
0045	69	Temple of Stirring Shadows (South Wing)	0x0045032a 60 -572 0.0049999998882413 0 0 0 -1	0045	32505		1879330873	Temple South Wing	0x00450329 60 -450 -0.063 1 0 0 -0.0000000437114	0045	NT NR NS					
0046	70	Yanshi Lower Undermine	0x0046010e 10 -270 0.0049999998882413 0.70710700750351 0 0 -0.70710700750351	0046				Yanshi Lower Undermine		B070	LR100 QF NT NR NS					
0046	70	Yanshi Upper Undermine	0x00460242 360 -240 12.005000114441 0.70710700750351 0 0 -0.70710700750351	0046	32517		1879334935	Yanshi Upper Undermine	0x0046023E 324 -370 11.937 0.707107 0 0 -0.707107	0046	LR100 QF NT NR NS					
0047	71	Repository	0x0047039c 60 -228.90299987793 0.0049999998882413 1 0 0 0	0047	32584		1889595442	Repository	0x0A0F0027 113.812 152.044 247.565 -0.483938 0 0 -0.875102	89.3S 93.5W	LR125 QF NS NT NR					
0048	72	Dardante's Keep	0x004805d4 198.94299316406 -80.00700378418 24.004999160767 -0.70271301269531 0 0 -0.71147298812866	0048				Dardante's Keep		91.3N 38.4W	LR100 QF NS NR NT					
0048	72	Viamontian Direlands Mine	0x00480330 45.829700469971 -174.20799255371 0.0049999998882413 -0.31159800291061 0 0 -0.95021402835846	0048				Viamontian Direlands Mine		8.6N 76.4W	LR100 QF NS NR NT					
0048	72	Viamontian Esper Mine	0x0048051a 235.54499816895 -45.588600158691 0.0049999998882413 -0.89157098531723 0 0 -0.45288199186325	0048	32623		2017300480	Viamontian Esper Mine	0x83D9000E 42 131.4 221.187 -0.3356 0 0 -0.942005	72.2N 3.0E	LR100 QF NS NR NT					
0049	73	Camp Entemarre	0x004901b0 50 -10 0.0049999998882413 0.70710700750351 0 0 -0.70710700750351	0049				Camp Entemarre		63.0S 82.6W	LR080 QF NS NR NT					
004A	74	Creepy Chambers	0x004A01F3 40.123001 -51.474998 6.005000 1.000000 0.000000 0.000000 0.000000	004A				Creepy Chambers		80.1S 60.0W	N					
004B	75	Path of the Blind (West)	0x004b034a 52.855201721191 -248.07499694824 0.0049999998882413 1 0 0 0	004B	31924		1950289921	Path of the Blind West	0x43F1001B 79.5862 61.2074 39.937 -0.707107 0 0 -0.707107	91.1N 48.0W	LR140					
004C	76	Mukkir Nest	0x004c0495 110.87400054932 -78.89119720459 0.0049999998882413 -0.92180097103119 0 0 0.38766300678253	004C							LR150 NS NR NT		Mukkir Nest Portal Gem	x		
004D	77	Eastern Temple Catacombs	0x004d06e5 90.004402160645 -247.8090057373 0.0049999998882413 1 0 0 0	004D	33303		2084450306	Eastern Temple Catacombs	0xC3E3002C 123.617 83.9052 11.9369 1 0 0 0	80.0N 54.6E	LR100 QF NS NR NT					
004D	77	Western Temple Catacombs	0x004d06e6 90 -360 0 1 0 0 0	004D	33306		2084450308	Western Temple Catacombs	0xC3E3000C 44.179 84.454 11.9369 1 0 0 0	80.0N 54.2E	LR100 QF NS NR NT					
004E	78	Northern Temple Catacombs	0x004e054a 40 -280 0.0049999998882413 1 0 0 0	004E	33305		2084450307	Northern Temple Catacombs	0xC3E3001E 84.353 123.832 11.9369 0.707107 0 0 -0.707107	80.2N 54.4E	LR100 QF NS NR NT					
004E	78	Vault of Eternal Slumber	0x004e055a 40 -440 0.0049999998882413 1 0 0 0	004E	33302		2084450304	Vault of Eternal Slumber	0xC3E30128 84.038 84.057 35.5125 1 0 0 0	004E	LR100 QF NS NR NT					
004F	79	Temple of the Black Spear	0x004f0343 79.920097351074 -34.25350189209 0.0049999998882413 0.020795000717044 0 0 -0.99978399276733	004F				Temple of the Black Spear		95.3N 52.2W	LR130 QF NS NR NT					
0050	80	Realaidain Eastern Vault	0x005001e9 480 -330 0.0049999998882413 1 0 0 0	0050	34542		2064388096	Realaidain Eastern Vault	0xB0C10101 60 15 193.937 1 0 0 0	52.5N 39.1E	LR080 QF NS NR NT					
0050	80	Realaidain Northern Vault	0x005003b5 240 -467 12.005000114441 1 0 0 0	0050	34544		2018369536	Realaidain Northern Vault	0x84DE0101 156 33 107.937 -0.0000000437114 0 0 -1	75.8N 4.3E	LR080 QF NS NR NT					
0050	80	Realaidain Western Vault	0x00500173 30 -700 0.0049999998882413 0.70710700750351 0 0 -0.70710700750351	0050	34540		1985769472	Realaidain Western Vault	0x65C70101 84 177 201.937 1 0 0 0	58.0N 20.8W	LR080 QF NS NR NT					
0051	81	Eastern Pedestal Dungeon	0x005106BE 50.577000 -42.757000 3.530000 1.000000 0.000000 0.000000 0.000000	0051							LR080-119 QF NS NR NT	Eastern Pedestal		x		
0052	82	Silyun Chapterhouse	0x005201c9 40 0 0.0049999998882413 0.70710700750351 0 0 -0.70710700750351	0052	32695		1920901120	Silyun Chapterhouse	0x27EA001A 83 32 29.937 -0.382683 0 0 -0.92388	85.4N 70.4W	LR080 QF NS NR NT					
0053	83	Shade Iron Mine	0x005303b0 0 -10 0.0049999998882413 0 0 0 -1	0053	32685		1897062400	Shade Iron Mine	0x112E0101 180 21 20.737 1 0 0 0	65.0S 87.6W	LR080 QF NS NR NT					
0054	84	Deep Mukkir Nest	0x005405c3 59.931800842285 -413.71099853516 0.0049999998882413 0.02195299975574 0 0 -0.99975901842117	0054	33543		2090745856	Deep Mukkir Nest	0xC9E40026 108.505 125.716 -0.163 -0.997276 0 0 -0.0737599	81.0N 59.3E	LR150 QF NS NR NT					
0055	85	Back Tunnels	0x005502b8 430.02398681641 -280.13800048828 0.0049999998882413 1 0 0 0	0055				Back Tunnels		43.9N 73.9W	QF NS NR NT					
0056	86	Augmentation Realm Main Level (Entrance 1)	0x0056036d 30 -442.14401245117 0.0049999998882413 1 0 0 0	0056				Augmentation Realm Main Level		007D	QF					
0056	86	Augmentation Realm Main Level (Entrance 2/7)	0x005604aa 400 -380 6.0050001144409 1 0 0 0	0056				Augmentation Realm Main Level		007D	QF					
0056	86	Augmentation Realm Main Level (Entrance 3)	0x00560261 129.22500610352 -210.09399414062 -5.9949998855591 0.70710700750351 0 0 -0.70710700750351	0056				Augmentation Realm Main Level		007D	QF					
0056	86	Augmentation Realm Main Level (Entrance 4/8)	0x00560459 335.41500854492 -249.79699707031 0.0049999998882413 -0.70710700750351 0 0 -0.70710700750351	0056				Augmentation Realm Main Level		007D	QF					
0056	86	Augmentation Realm Main Level (Entrance 5/9)	0x005601c6 37.285999298096 -36.596000671387 -5.9949998855591 1 0 0 0	0056				Augmentation Realm Main Level		007D	QF					
0056	86	Augmentation Realm Main Level (Entrance 6)	0x0056030f 169.69400024414 -60.858100891113 -5.9949998855591 -0.46174800395966 0 0 -0.88701099157333	0056				Augmentation Realm Main Level		007D	QF					
0057	87	Enlightened Master's Chambers (Earth)	0x005701ec 590 -200 0.0049999998882413 1 0 0 0	0057				Enlightened Master's Chambers		0057	LR080 QF NS NR NT					
0057	87	Tanada House of Earth	0x005701ad 440 -200 0.0049999998882413 1 0 0 0	0057	34374		2022514688	Tanada House of Earth	0x88D20100 180.219 76.7927 174.737 0.999907 0 0 0.0136352		LR080 QF NS NR NT				Unsure which is which, same layout, different objects inside. - Immortalbob	
0057	87	Tanada House of Metal	0x0057011d 40 -200 0.0049999998882413 1 0 0 0	0057				Tanada House of Metal			LR080 QF NS NR NT				Unsure which is which, same layout, different objects inside. - Immortalbob	
0057	87	Tanada House of Stone	0x00570165 230 -200 0.0049999998882413 1 0 0 0	0057				Tanada House of Stone			LR080 QF NS NR NT				Unsure which is which, same layout, different objects inside. - Immortalbob	
0058	88	Viamontian Staging Portal (Low)	0x00580398 80 -150 0.0049999998882413 1 0 0 0	0058				Viamont Staging Portal		32.3N 29.5E	LR080 QF NS NR NT	Portal Pillar				
0059	89	Viamontian Staging Portal (Mid)	0x00590398 80 -150 0.0049999998882413 1 0 0 0	0059				Viamont Staging Portal		31.4N 25.8E	LR100 QF NS NR NT	Portal Pillar				
005A	90	Viamontian Staging Portal (High)	0x005a0398 80 -150 0.0049999998882413 1 0 0 0	005A				Viamont Staging Portal		27.2N 27.9E	LR130 QF NS NR NT	Portal Pillar				
005B	91	Ulgrim's Bookcase	0x005B02D9 89.835999 -140.516006 15.261823 1.000000 0.000000 0.000000 0.000000	005B							N	Ulgrim's Bookcase				
005C	92	Ulgrim's Mysterious Hatch	0x005c011f 30 -40 12.945899963379 1 0 0 0	005C							QF	Ulgrim's Mysterious Hatch				
005D	93	Harbinger's Lair	0x005d011d 10 -10 -5.5028901100159 1 0 0 0	005D				Harbinger's Lair		005E	NS NR NT					
005E	94	Tunnels to the Harbinger (Issk) (Essenceless)	0x005e0317 279.91400146484 -66.380302429199 0.0049999998882413 1 0 0 0	005E				Tunnels to the Harbinger		12.9S 46.5E	LR060 QF NS NR NT				See Also: Landblocks 6446 and 6447 - Immortalbob	
005E	94	Tunnels to the Harbinger (Issk) (Weakened)	0x005e0314 49.914398193359 -66.380302429199 0.0049999998882413 1 0 0 0	005E				Tunnels to the Harbinger		12.9S 46.5E	LR060 QF NS NR NT					
0060	96	Harraag's Hideout	0x006004c1 117.46399688721 -87.41739654541 0.0049999998882413 -0.92387902736664 0 0 -0.38268399238586	0060				Harraag's Hideout		60.2S 80.2W	LR120 QF NS NR NT				See Also: Landblocks 6446 and 6447 - Immortalbob	
0060	96	Harraag's Lair	0x006004bf 120 -20 0 -0.92387902736664 0 0 -0.38268399238586	0060				Harraag's Lair		0060	LR120 QF NS NR NT				Unsure of restrictions on portal - Immortalbob	
0061	97	Western Pedestal Dungeon	0x006106BE 49.802361 -41.689896 0.005000 -0.004204 0.000000 0.000000 0.999991	0061							LR120 QF NS NR NT	Western Pedestal		x		
0062	98	Ley Line Cavern	0x006202CF 69.917908 -44.338612 0.005000 -0.012537 0.000000 0.000000 -0.999921	0062							QF NS NR NT	Falatacot Statue				
0063	99	Northern Pedestal Dungeon	0x006306BE 49.689243 -44.442303 0.005000 -0.016703 0.000000 0.000000 0.999861	0063							LR040-079 QF NS NR NT	Northern Pedestal		x		
0064	100	Egg Orchard (East)	0x00640371 458.53500366211 -172.20300292969 0.0049999998882413 0.93300801515579 0 0 -0.35985600948334	0064	31926		1950314497	Egg Orchard East	0x43F7001E 76.191 129.422 99.937 0.707107 0 0 -0.707107	96.2N 48.1W	LR140					
0065	101	Thrungal Den	0x006502ba 119.95700073242 -10.746999740601 0.0049999998882413 -0.0042037297971547 0 0 -0.99999099969864	0065				Thrungal Den		79.4N 71.6W	LR100 QF NS NR NT					
0066	102	PK Arena (Entrance 1)	0x00660103 0 -30 0.0049999998882413 0.71442401409149 0 0 -0.69971299171448	0066							PK					
